Event Name,Event Type,Start Date,Start Time,Finish Date,Finish Time,Location (address),Location (city),Location (country),Event Description,Event Link,Event Cost (other details),Recurring,
Eid al Adha (Islamic),Cultural Events,29/6/2023,n/a,29/6/2023,n/a,n/a,n/a,Worldwide,"Eid is an Islamic religious holiday, marking the end of the month of Ramadan. Celebrations for Eid include prayer, gift giving and family time, and both Eid al Adha and Eid al Fitr are public holidays in many countries including Egypt, Somalia, Turkey and Saudi Arabia.",n/a,,https://drive.google.com/file/d/1jGJ95i0r6t5HsKxafxbY-HF_abjbNGVx/view?usp=sharing,Annual
Naadam Festival (Mongolia),Cultural Events,11/7/2023,n/a,15/7/2023,n/a,n/a,n/a,Mongolia,"The Naadam Festival in Mongolia is a significant event that takes place on the 11th of July every year. It usually includes three games: archery, horse riding and Mongolian wrestling. Mongolians consider these sports to be very important as they celebrate the history of the country’s nomadic lifestyle and culture. The Naadam Festival is accompanied by lots of music, food, drink and dancing!",n/a,,https://drive.google.com/file/d/1G0hmJiiMhCYugq5A9GQtm8TTEHwWgCS2/view?usp=sharing,Annual
Bastille Day (France),Cultural Events,14/7/2023,n/a,14/7/2023,n/a,n/a,n/a,FR,"Bastille Day is a French holiday which celebrates the storming of the Bastille, a famous prison in France. It was on this day in 1789 that prisoners were freed from the prison and it signalled the start of The French Revolution, marking an important event in their history. Bastille Day is often marked by fireworks, parades, dancing and singing in the streets!",n/a,,https://drive.google.com/file/d/1PGYmrPdsaCy7t6o7xgpu5I4fepxZjmow/view?usp=sharing,Annual
Raksha Bandhan (Hindu),Cultural Events,30/8/2023,n/a,30/8/2023,n/a,n/a,n/a,IN,"Raksha Bandhan is a Hindu festival of brotherly love, which encourages the tying of Rakhi, a thread worn around the wrist or neck by Hindus as a symbol of love. Women will often tie this thread onto their brothers’ wrist as an act of protection and to signify the brother-sister bond. This festival is celebrated all across India and in Hindu communities worldwide.",n/a,,https://drive.google.com/file/d/11H5adOsxk66388gWElTw2vz3G_mWwErD/view?usp=sharing,Annual
Obon (Japanese Buddhist),Cultural Events,13/8/2023,n/a,13/8/2023,n/a,n/a,n/a,JP,"Obon is a three day Buddhist festival that takes place every year. It honors the spirits of ancestors and it is believed that during this time, the souls of those who have died will visit their living relatives for a short time. It is an important part of Japanese culture and is celebrated with Bon Odori, or Bon Festival dance. This dance is often performed in public squares around the world, with participants wearing colourful kimono and dancing to traditional Japanese music. Obon is accompanied by many street stalls selling delicious festival food, so be sure to try some on this year’s Obon!",n/a,,https://drive.google.com/file/d/1clzqcCtc860qGEDGYB0otRXHOK5Ea96H/view?usp=sharing,Annual
Krishna Janmashtami (Hindu),Cultural Events,18/8/2023,n/a,18/8/2023,n/a,n/a,n/a,Northern India,"Krishna Janmashtami is a celebration of the birth of Lord Krishna, one of the most important deities in Hinduism. It is celebrated with processions and gatherings in temples across the country, often involving singing and dancing.",n/a,,https://drive.google.com/file/d/1Qie5_59QOcLAC6BeRvi96EPmCzavDJyf/view?usp=sharing,Annual
La Tomatina (Spain),Cultural Events,31/8/2023,n/a,31/8/2023,n/a,n/a,n/a,ESP,"La Tomatina is a large tomato-throwing festival in Spain. It’s held on the last Wednesday of August every year, and participants throw tomatoes at one another in the streets before cleaning up later in the day with refreshing water. This festival is highly popular with tourists, so why not go and join in yourself this year? Our Spanish Language Course can help you prepare for your trip!",n/a,,https://drive.google.com/file/d/1opB9fOlrCcdp5czL3oYCmbwq0kY4l9gS/view?usp=sharing,Annual
Labour Day (USA/Canada),Cultural Events,4/9/2023,n/a,4/9/2023,n/a,n/a,n/a,CA,"Labor Day is celebrated in the USA and Canada, marking the end of summer and the start of a new school year. Labor Day is observed on the first Monday of September every year, and celebrates the American labor movement and the contributions and achievements of American workers.",n/a,,https://drive.google.com/file/d/10I3wa0ubo_EHilXGCNc18FMwjud5zLVT/view?usp=sharing,Annual
Mid-Autumn Moon Festival (East/South East Asia),Cultural Events,10/9/2023,n/a,10/9/2023,n/a,n/a,n/a,CH,"The Mid-Autumn Moon Festival is a three day festival which is held in East and South East Asia. It takes place on the 15th day of the 8th month of the Chinese lunar calendar and celebrates the mid-autumn full moon and harvest, accompanied by family gatherings and delicious food!",n/a,,https://drive.google.com/file/d/1TAnSdtH8kDN4g4HTdUa8rrjOheP2Cp7V/view?usp=sharing,Annual
International Day of Peace,Cultural Events,21/9/2023,n/a,21/9/2023,n/a,n/a,n/a,Worldwide,"The International Day of Peace is a United Nations observance and has been celebrated since 1982. It marks the opening for the annual debate of the General Assembly on disarmament and international security, as well as recognising and strengthening the ideals of peace within individuals, communities and societies across the globe.",n/a,,https://drive.google.com/file/d/1oCG6DkeB0wRjgwOwz__iC58uwn3n6BKY/view?usp=sharing,Annual
Rosh Hashana (Jewish),Cultural Events,15/9/2023,n/a,17/9/2023,n/a,n/a,n/a,Worldwide,"Rosh Hashana is the first of the Jewish High Holy Days and marks the new year on the Hebrew calendar. This festival has many traditions including special foods, blowing shofar or ram’s horn and special services in synagogues.",n/a,,https://drive.google.com/file/d/1YmUl1Paf9zDu9B0Pu4i8wGM0zpMavHP0/view?usp=sharing,Annual
World Maritime Day,Cultural Events,28/9/2023,n/a,28/9/2023,n/a,n/a,n/a,Worldwide,"The International Maritime Organisation (IMO) has been celebrating World Maritime Day since 1948. The day is used to celebrate and promote the safe, secure and efficient use of our oceans and seas for trade and transport as how we rely on them today.",n/a,,https://drive.google.com/file/d/1k8T3ngRvuW0Y6THlAVV40PtsN0UYWhhM/view?usp=sharing,Annual
World Space Week,Cultural Events,4/10/2023,n/a,10/10/2023,n/a,n/a,n/a,Worldwide,"World Space Week is celebrated every October since 1999, and takes place between the 4th and 10th of the month. It’s a time to reflect on the benefits of space-based technologies for humankind, but also to look at our direct connection with space exploration through events like concerts, lectures and exhibitions.",n/a,,https://drive.google.com/file/d/1asWzUmD1hmumOU_mDdqlrlyhGwPGh_Nu/view?usp=sharing,Annual
Yom Kippur (Jewish),Cultural Events,24/9/2023,n/a,25/9/2023,n/a,n/a,n/a,Worldwide,"Yom Kippur is the holiest day of the year for the Jewish people, and is a time for reflection on past actions. For 25 hours from sundown on the 9th of October, Jewish people fast and spend time in synagogue reflecting. This religious holy day lasts until sundown the following day. If you have any questions about this closer to the time, feel free to ask a Jewish colleague or friend!",n/a,,https://drive.google.com/file/d/1C1LHwt6U_abFWEbE1F88cPQWjkMqGc8k/view?usp=sharing,Annual
World Mental Health Day,Cultural Events,10/10/2023,n/a,10/10/2023,n/a,n/a,n/a,Worldwide,"World Mental Health Day is a World Health Organisation (WHO) international day, held on 10 October each year. It aims to encourage open discussion of mental health issues and remove the stigma associated with mental illness, whilst also encouraging people to consider how physical health conditions have an impact on our mental wellbeing.",n/a,,https://drive.google.com/file/d/17tGfEU8W3YbMPPNb4vGJ30H8kVDi5o28/view?usp=sharing,Annual
Diwali Festival of Lights (Hindu),Cultural Events,12/11/2023,n/a,12/11/2023,n/a,n/a,n/a,Worldwide,"Diwali is one of the most important festivals celebrated by Hindus, Sikhs and Jains throughout the world. It signifies the triumph of good over evil, light over dark and knowledge over ignorance. As the Festival of Lights, celebrations often include lighting small oil lamps on the floor in front of statues of deities, dancing, eating and sharing gifts with friends and family.",n/a,,https://drive.google.com/file/d/18YPLWu5svwU5yVuBNVdhF5ivR0DcAqau/view?usp=sharing,Annual
Sharad Navratri (Hinduism),Cultural Events,26/10/2023,,26/10/2023,n/a,n/a,n/a,Worldwide,"Sharad Navratri is one of the biggest and most important festivals celebrated in India. It’s also known as Navaratri or ‘nine nights’, beginning near the autumn equinox and culminating nine days later in Dussehra, commemorating the Hindu Goddess Durga defeating demon Mahishasura.",n/a,,https://drive.google.com/file/d/1g0DQ0LRoXntB2ztJ9lRPYytPr_m_PmkU/view?usp=sharing,Annual
Armageddon Time,Arts & Entertainment,11/11/2022,n/a,11/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1lo3tPEtlCXnEIMsCfWgGw144-MxAsisf/view?usp=sharing,n/a
Black Panther: Wakanda Forever ,Arts & Entertainment,11/11/2022,n/a,11/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1nVk74CBISKzkanwLnR_t2e6C23jAYRnL/view?usp=sharing,n/a
The Menu ,Arts & Entertainment,18/11/2022,n/a,18/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1UiBMILTiDvTS6YZQ0xFzwYs8PI6yUrKp/view?usp=sharing,n/a
Falling for Christmas,Arts & Entertainment,18/11/2022,n/a,18/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/18K6y3ec_RUg2YW4iAKQYhMfRdpUkJXjO/view?usp=sharing,n/a
She Said,Arts & Entertainment,18/11/2022,n/a,18/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1PMW2wWv-r8XuZFEd9LQPcTzbALthRJ5S/view?usp=sharing,n/a
Slumberland ,Arts & Entertainment,18/11/2022,n/a,18/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/14P_dy6td9vaNjznLidbiSAKHPcZN-0u9/view?usp=sharing,n/a
Bones and Al,Arts & Entertainment,23/11/2022,n/a,23/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1GI5Vq9zvLrIKcJ3QQMwsbq6khiSAX1gX/view?usp=sharing,n/a
Devotion,Arts & Entertainment,23/11/2022,n/a,23/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/14-OnCyUfZKBmPID4vc9ZSjrqreS4zTbZ/view?usp=sharing,n/a
The Fabelmans,Arts & Entertainment,23/11/2022,n/a,23/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1sYbahPz0t74yNnUQ6JFcRKF4EKv2vu3j/view?usp=sharing,n/a
Strange World,Arts & Entertainment,23/11/2022,n/a,23/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1U1kbC5aU4T9WOtxk9GbDcBY_2m-kuU1I/view?usp=sharing,n/a
Disenchanted,Arts & Entertainment,24/11/2022,n/a,24/11/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1zMguGvNEFYs16LletWBPcPQYRlwfq1n8/view?usp=sharing,n/a
Violent Night,Arts & Entertainment,2/12/2022,n/a,2/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1eiwCS15OJ10MXfj5cO5FLiJdA0LmpEbd/view?usp=sharing,n/a
House Party ,Arts & Entertainment,9/12/2022,n/a,9/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1Cl1yhypWnMU_BiYTHAn2Hc2zClFuNlIS/view?usp=sharing,n/a
Empire of Light ,Arts & Entertainment,9/12/2022,n/a,9/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1k2RaJ1kaVKvWRQ_n39mN6_ilws3YYjOI/view?usp=sharing,n/a
Guillermo del Toro's Pinocchio,Arts & Entertainment,9/12/2022,n/a,9/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1lYubTFT6EKmz073G1Rr1Xpm2CVSFzBb9/view?usp=sharing,n/a
A Man Called Otto,Arts & Entertainment,14/12/2022,n/a,14/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1Z4LutjKSqud0159fpNJiSb4ti28tIiLW/view?usp=sharing,n/a
Avatar: The Way of Water ,Arts & Entertainment,16/12/2022,n/a,16/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1Qf8beN7VnWtOO3pCXvW-854vBgpariLe/view?usp=sharing,n/a
The Hero Dies,Arts & Entertainment,16/12/2022,n/a,16/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1yw3Od46Pm4x3AfZRCsv1sSB7_9RoW2Uq/view?usp=sharing,n/a
I Wanna Dance With Somebody,Arts & Entertainment,21/12/2022,n/a,21/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1ABUKEL9X2UWYtd5c_wIJNeiHZWmYYzaa/view?usp=sharing,n/a
Puss in Boots: The Last Wish,Arts & Entertainment,21/12/2022,n/a,21/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/10QO1eE7VQQZvcINd1vFZFdE4KtYsQ5gq/view?usp=sharing,n/a
Glass Onion: A Knives Out Mystery,Arts & Entertainment,23/12/2022,n/a,23/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1Bl9qTBYtNBRwVmWwqhux-aRK6w3uO3rj/view?usp=sharing,n/a
Babylon,Arts & Entertainment,25/12/2022,n/a,25/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1NC80zNwIoKW54Nl7N0cqbof4puNmGacY/view?usp=sharing,n/a
Women Talking,Arts & Entertainment,25/12/2022,n/a,25/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1suTU5K7JAU3jOQXuhQpBrFdLgzP3E3kC/view?usp=sharing,n/a
They Cloned Tyrone,Arts & Entertainment,30/12/2022,n/a,30/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1BMs4qRbVOFlvoJ1_M0RSU4Wtl39birYs/view?usp=sharing,n/a
White Noise,Arts & Entertainment,30/12/2022,n/a,30/12/2022,n/a,n/a,n/a,Worldwide,n/a,n/a,,https://drive.google.com/file/d/1HO5wdqYVxyvL7rVtCRvcXkTdr9DWturT/view?usp=sharing,n/a
Martin Luther King Day,Cultural Events,16/1/2023,n/a,16/1/2023,n/a,n/a,n/a,US,"Martin Luther King Day, or Martin Luther King Jr. Day, is observed on the third Monday of January. It is also known as Martin Luther King’s Birthday. It is a federal holiday and a day off - most schools and businesses are closed. Martin Luther King Day is held in honor of Martin Luther King Jr., the famous civil rights leader.",n/a,,https://drive.google.com/file/d/12Butp9abLlKq_694MrV1bmyPkxv3cjvo/view?usp=sharing,Annual
Presidents Day,Cultural Events,20/2/2023,n/a,20/2/2023,n/a,n/a,n/a,US,"Presidents' Day, or, officially, Washington’s Birthday, is an American Federal Holiday that is celebrated yearly on the third Monday of February. Originally a day to celebrate George Washington and Abraham Lincoln, it is now meant to honor all U.S. Presidents, past and present, although several states still have individual holidays honoring the birthdays of Washington, Lincoln and other presidents.",n/a,,https://drive.google.com/file/d/1p6UcclsSPeLgpboMgeY-bgw8QiGNN-F7/view?usp=sharing,Annual
Mardi Gras,Cultural Events,21/2/2023,n/a,21/2/2023,n/a,n/a,n/a,US,"Mardi Gras, also known as Carnival, Fat Tuesday or Shrove Tuesday, is a celebration that takes place on the day before Ash Wednesday. Because of its grand parades and celebrations, it is a holiday in some places in America, and businesses and schools are closed for the day. In other states, it is a normal working day.",n/a,,https://drive.google.com/file/d/1K6bspL6O24gAaoRKrSO3JoJiMAqNsi_-/view?usp=sharing,Annual
Ash Wednesday,Cultural Events,22/2/2023,n/a,22/2/2023,n/a,n/a,n/a,US,"Ash Wednesday is observed 46 days before Easter Sunday, and it signals the beginning of the forty days of Lent period. Also known as Day of Ashes, Catholics and Christians celebrate this day by focusing on prayer and penance. It is not a public holiday, and businesses run as usual.",n/a,,https://drive.google.com/file/d/1xCYcN5K9yTTMrX2tqdN1QN5jtxPgSzu9/view?usp=sharing,Annual
April Fools Day,Cultural Events,1/4/2023,n/a,1/4/2023,n/a,n/a,n/a,US,"A tradition that is celebrated in several countries, the origins of April Fool’s Day remain mysterious until today, and it is unlikely that we will ever know its true history. However, there are a few theories about where this day comes from:",n/a,,https://drive.google.com/file/d/1n61I1kSl-rBSuxURvQqZQehRaLreuCqc/view?usp=sharing,Annual
Memorial Day,Cultural Events,29/5/2023,n/a,29/5/2023,n/a,n/a,n/a,US,"Memorial Day is observed in America on the last Monday of May, and it is a day to commemorate and remember the men and women who lost their lives while in service for the US military. It is a federal holiday, and as such, businesses and schools are closed, and most people have the day off work.It was officially became a federal holiday in 1971. Traditionally, people will visit cemeteries and memorials for American soldiers, and there are several parades around the country.",n/a,,https://drive.google.com/file/d/11VNmC0ZjpUmORnoP47EsQl-zZvt3_HvX/view?usp=sharing,Annual
Columbus Day,Cultural Events,9/11/2023,n/a,9/11/2023,n/a,n/a,n/a,US,"Columbus Day takes place on the second Monday of October. It is a federal holiday, so most banks and government offices are closed. Not all schools and post offices are closed for the day, so it is best to check beforehand. Some states do not observe the holiday, therefore, in those states, it is not a day off and many shops and businesses remain open. In most of those cities, the day is known as National Indigenous Peoples Day.",n/a,,https://drive.google.com/file/d/1wdcMke3bBkPz7XmjRCYzsi4ruwr9HDP0/view?usp=sharing,Annual
Veteran's Day,Cultural Events,11/11/2023,n/a,21/11/2023,n/a,n/a,n/a,US,"Veterans Day is observed annually on November 11. If it falls on Saturday, the Friday before may be used for the holiday instead. If it occurs on a Sunday, then Monday may be used. It is a federal holiday, so most schools and businesses are closed. However, state and local governments, schools, and businesses are not required to close. Check locally.",n/a,,https://drive.google.com/file/d/1KQXBrVDxHYztvlkcDsZliPKx2Na4Pnwp/view?usp=sharing,Annual
Patriot Day,Cultural Events,11/9/2023,n/a,11/9/2023,n/a,n/a,n/a,US,"Patriot Day is held on September 11 each year. Owing to its significance, many simply refer to Patriot Day by its date: September 11, or 9/11. It is an annual observance, but not a national holiday. Schools and businesses are open, however, it is common for commemorative ceremonies to take place. It’s important to note that Patriot Day is not the same as Patriots’ or Patriots Day, which commemorates the first battles of the American Revolutionary War.",n/a,,https://drive.google.com/file/d/1Qj_U6wDvbQ7Ha4q2grcjWmDoieyumBF5/view?usp=sharing,Annual
The Platinum Jubilee,Cultural Events,3/6/2023,n/a,3/6/2023,n/a,n/a,n/a,UK,"The Platinum Jubilee bank holiday is a weekend celebration from June 2 to June 5, 2022. The weekend is part of Queen Elizabeth's Platinum Jubilee celebrations that are taking place throughout the United Kingdom, the Realms, and the Commonwealth.",n/a,,https://drive.google.com/file/d/1ygo66SBeT5B7TdVDVc6TNEcCGpYKFJNG/view?usp=sharing,Annual
Rio Carnival,Cultural Events,17/2/2023,n/a,25/2/2023,n/a,n/a,n/a,BR,"The Carnival in Rio de Janeiro is a festival held every year before Lent; it is considered the biggest carnival in the world, with two million people per day on the streets. The first Carnival festival in Rio occurred in 1723.",n/a,,https://drive.google.com/file/d/1Xycq1yG73jXEk13N7_wfryGNE3bEzrB7/view?usp=sharing,Annual
Floriade,Cultural Events,16/9/2023,n/a,15/10/2023,n/a,n/a,n/a,NL,"Floriade is an international exhibition and garden festival, held every 10 years in the Netherlands. All have been World Horticultural Expositions and listed as an A1 category exhibition by the International Association of Horticultural Producers and hence recognised by the Bureau International des Expositions. ",n/a,,https://drive.google.com/file/d/1OtuHOV1NVP-Zw7z1mXkg2GUf16tA08Mg/view?usp=sharing,Annual
Matariki,Cultural Events,14/07/2023,n/a,14/07/2023,n/a,n/a,n/a,NZ,"In Māori culture, Matariki is the name of the Pleiades star cluster and the celebration of its first rising in late June or early July. This marks the beginning of the new year in the Māori lunar calendar. Matariki was first celebrated as an official public holiday in New Zealand on 24 June 2022.",n/a,,https://drive.google.com/file/d/1wxVvricm4DQYdU22NHVdQmLYI0DE8g2J/view?usp=sharing,Annual
Oktoberfest,Cultural Events,16/9/2023,12:00,3/10/2023,22:30,n/a,Munich,GE,"The Oktoberfest is the world's largest Volksfest, featuring a beer festival and a travelling carnival. It is held annually in Munich, Bavaria, Germany.",n/a,,https://drive.google.com/file/d/17MT56KSrUdYBJH3dNKLYrSNmMLBjJA0f/view?usp=sharing,Annual
Nigerian General Election,Politics,25/2/2023,n/a,25/2/2023,n/a,n/a,n/a,NG,"The 2023 Nigerian elections will be held, in large part, on 25 February and 11 March 2023. The President and Vice President will be elected on 25 February, with incumbent President Muhammadu Buhari ineligible to run, being term-limited.[1] Additionally, there will also be elections on the same day for the Senate and the House of Representatives. On 11 March, twenty-eight gubernatorial elections will be held alongside elections to state houses of assembly in all 36 states.[1] Two additional gubernatorial elections will be held later in the year alongside potential rerun elections for regularly scheduled elections annulled from earlier in the year.",n/a,,https://drive.google.com/file/d/1LxKFuTvJY24naWsHqZZA8EROJ9nuZ8x3/view?usp=sharing,TBD
Coronation of Charles III and Camilla,Politics,6/5/2023,n/a,6/5/2023,n/a,Westminster Abbey,London,UK,"The coronation of Charles III and his wife, Camilla, as king and queen of the United Kingdom and the other Commonwealth realms is set to take place on Saturday, 6 May 2023 at Westminster Abbey. It is meant to be the ""symbolic high point"" of his accession.[1] King Charles III acceded to the throne on 8 September 2022, upon the death of his mother, Queen Elizabeth II. The coronation will be a state occasion funded by the British government. It is expected to be shorter, more inclusive of other faiths and communities, and less expensive than previous coronations.",n/a,,https://drive.google.com/file/d/1F9wuWtC6w-zdNDUknMpa21CfP0VE-d5I/view?usp=sharing,n/a
Eurovision Song Contest 2023,Arts & Entertainment,13/5/2023,n/a,13/5/2023,n/a,n/a,Liverpool,UK,"The Eurovision Song Contest, sometimes abbreviated to ESC and often known simply as Eurovision, is an international songwriting competition organised annually by the European Broadcasting Union, featuring participants representing primarily European countries.",n/a,,https://drive.google.com/file/d/17ti8rUUju2UGZHWpP2DF2A4CpTwl6OTJ/view?usp=sharing,Annual
Turkish General Election,Politics,6/18/2023,n/a,6/18/2023,n/a,n/a,n/a,TR,"The 2023 Turkish general election will be held on 18 June 2023.[1] Presidential elections are held to elect the President of Turkey using a two-round system. Simultaneously, parliamentary elections are held to elect 600 Members of Parliament to the Grand National Assembly of Turkey.",n/a,,https://drive.google.com/file/d/10Jasv7ANcCvklfiGewT7KQh6g1A6Pg9u/view?usp=sharing,n/a
Guatemalan general election,Politics,25/06/2023,n/a,25/06/2023,n/a,n/a,n/a,GT,"General elections will be held in Guatemala in 25 June 2023 to elect the President and Congress, with a second round of the presidential elections to be held in 20 August if no candidate wins a majority in the first round.",n/a,,https://drive.google.com/file/d/1oEaIYlfSXBNYw4GelWLjLPDP2LYGx40n/view?usp=sharing,n/a
Australia Day,Cultural Events,26/01/2023,n/a,26/01/2023,n/a,n/a,n/a,AU,"Australia Day is on January 26 and commemorates the establishment of the first European settlement at Port Jackson, now part of Sydney, in 1788.",n/a,,https://drive.google.com/file/d/1v1c7lyD_kJAJtvxy6ZuvrxwzNIZNpIFI/view?usp=sharing,Annual
Royal Hobart Regatta,Cultural Events,13/2/2023,n/a,13/2/2023,n/a,n/a,n/a,AU,"Royal Hobart Regatta is a public holiday in Tasmania, where it is a day off for the general population, and schools and most businesses are closed. Sideshows, rides, and rowing competitions are what can be expected for the crowds who flock to the Royal Hobart Regatta in Australia. Held on the second Monday of February, the regatta is consists of aquatic competitions and is one of Tasmania’s oldest sporting events.",n/a,,https://drive.google.com/file/d/1Tm2TJVwIyEKwuEK0-zbVs-gBvOT4OfwN/view?usp=sharing,Annual
Adelaide Cup,Cultural Events,13/03/2023,n/a,13/03/2023,n/a,n/a,n/a,AU,Adelaide Cup is a state holiday in South Australia that falls on the second Monday of March. This horse racing event has been the heart of South Australia’s sporting and social life since it was first run in 1864.,n/a,,https://drive.google.com/file/d/11_r1l-ZVHZIMLd8GWTYyWeK3M8hQv7om/view?usp=sharing,Annual
Canberra Day,Cultural Events,13/03/2023,n/a,13/03/2023,n/a,n/a,n/a,AU,Canberra Day is a public holiday in the Australian Capital Territory (ACT) on the second Monday of March each year. It commemorates Canberra’s official founding in 1913 and highlights a major festival in the territory.,n/a,,https://drive.google.com/file/d/1s3VVSrYQgeC1LOW1MDVkrFfkp6fuJd-X/view?usp=sharing,Annual
National Close the Gap Day,Cultural Events,16/3/2023,n/a,16/3/2023,n/a,n/a,n/a,AU,National Close the Gap Day (NCTGD) is an annual awareness event that aims to close the health and life expectancy gap between the indigenous and the non-indigenous communities in Australia.,n/a,,https://drive.google.com/file/d/111efmEuivEG3Jm4QRuVRQMXlFVWGfA-i/view?usp=sharing,Annual
Harmony Day,Cultural Events,21/3/2023,n/a,21/3/2023,n/a,n/a,n/a,AU,"March 21 is Australia’s Harmony Day, which celebrates the country’s cultural diversity. It coincides with the United Nations’ International Day for the Elimination of Racial Discrimination.",n/a,,https://drive.google.com/file/d/17XmwaUlxG1O-Ctksg4asV84tm5OY50Pu/view?usp=sharing,Annual
March Equinox,Cultural Events,21/3/2023,n/a,21/3/2023,n/a,n/a,n/a,AU,"There are two equinoxes every year: one in March and one in September. In March, the Sun crosses the equator from south to north.",n/a,,https://drive.google.com/file/d/1ZluswF-KYddL0hwAk3VhjZQG-NOwPan0/view?usp=sharing,Annual
Palm Sunday,Cultural Events,02/04/2023,n/a,02/04/2023,n/a,n/a,n/a,AU,"Many Christians living in Australia remember Jesus’ triumphal entry into Jerusalem on Palm Sunday, which marks the beginning of Holy Week. This day is also on the Sunday before Easter Sunday.",n/a,,https://drive.google.com/file/d/1LUdHI-WuiMalCIGvWE9M1wOs2SEJYztO/view?usp=sharing,Annual
Self Determination Day,Cultural Events,06/04/2023,n/a,06/04/2023,n/a,n/a,n/a,AU,"Self Determination Day is a public holiday in Cocos and Keeling Islands, where it is a day off for the general population, and schools and most businesses are closed.",n/a,,https://drive.google.com/file/d/1B_TDuYZf9noeTFN0WNUxoUoglsVr6Nu5/view?usp=sharing,Annual
Labour Day [AU],Cultural Events,13/5/2023,n/a,13/5/2023,n/a,n/a,n/a,AU,"Labour Day, also known as Eight Hours Day in Tasmania and May Day in the Northern Territory, commemorates the granting of the eight-hour working day for Australians. It also recognizes workers’ contributions towards the nation’s economy. It is an annual public holiday and its date varies across the states and territories.",n/a,,https://drive.google.com/file/d/1xLj4Aysevj5HgwEc2W7H1QTOPpLePrlH/view?usp=sharing,Annual
Hari Raya Puasa,Cultural Events,22/4/2022,n/a,22/4/2022,n/a,n/a,n/a,AU,"Hari Raya Puasa is a public holiday in Christmas Island and Cocos and Keeling Islands, where it is a day off for the general population, and schools and most businesses are closed.",n/a,,https://drive.google.com/file/d/1yXBH_rp1u1BQL08sm0nsEf8rrvYApmwb/view?usp=sharing,Annual
ANZAC Day,Cultural Events,25/4/2023,n/a,25/4/2023,n/a,n/a,n/a,AU,"ANZAC (Australian and New Zealand Army Corps) Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula, Turkey, in World War I on April 25, 1915. The bravery of all military personnel who participated in this campaign and the lives of those who died in all military actions are remembered.",n/a,,https://drive.google.com/file/d/1ozU5pbeeF2CChJvL3RB2HDRxhxpuP0d1/view?usp=sharing,Annual
Reconciliation Day,Cultural Events,30/5/2023,n/a,30/5/2023,n/a,n/a,n/a,AU,"Reconciliation Day is a public holiday in the Australian Capital Territory (ACT). First observed in 2018, it celebrates Aboriginal Australian culture and promotes cultural exchange and understanding.",n/a,,https://drive.google.com/file/d/1YxCfGgdRPiVuw4AWlbp2bZv_rYhi7hSy/view?usp=sharing,Annual
Western Australia Day,Cultural Events,6/6/2023,n/a,6/6/2023,n/a,n/a,n/a,AU,"Western Australia Day is a public holiday in Western Australia, where it is a day off for the general population, and schools and most businesses are closed.",n/a,,https://drive.google.com/file/d/1FpCAKKXlSg6wzNtYErRzWTEVBrSyy2hj/view?usp=sharing,Annual
Queensland Day,Cultural Events,6/6/2023,n/a,6/6/2023,n/a,n/a,n/a,AU,"Although Queensland Day is not a public holiday, businesses and schools may be closed because it falls on the same date as Western Australia Day in 2022, which is a public holiday in Western Australia.",n/a,,https://drive.google.com/file/d/1v-NvgxI5x9KIWpqTGLw5LfyYcmtmsVYs/view?usp=sharing,Annual
